Date,Open,High,Low,Close,Volume
03/17/2025,"8.86","8.87","7.97","8.34","154,061,406"
03/14/2025,"9.03","9.35","8.58","9.22","160,206,594"
03/13/2025,"9.13","9.15","8.06","8.57","217,496,984"
03/12/2025,"9.08","9.39","8.65","9.14","222,804,500"
03/11/2025,"7.59","8.37","7.11","7.91","304,689,969"
03/10/2025,"9.84","9.92","7.22","7.38","259,181,109"
03/07/2025,"10.39","10.97","9.71","10.66","143,040,500"
03/06/2025,"11.50","11.55","10.45","10.75","134,955,906"
03/05/2025,"11.61","12.15","11.16","12.13","115,536,398"
03/04/2025,"11.44","12.62","10.62","11.53","192,726,703"
03/03/2025,"14.09","14.42","12.00","12.67","154,661,594"
02/28/2025,"12.22","13.47","11.71","13.45","154,462,703"
02/27/2025,"13.28","13.86","12.36","12.47","147,143,906"
02/26/2025,"14.50","15.00","13.01","13.29","118,324,305"
02/25/2025,"16.97","17.00","13.85","14.41","167,522,500"
02/24/2025,"18.15","18.60","16.71","17.33","79,829,875"
02/21/2025,"19.91","20.06","17.75","18.11","72,766,469"
02/20/2025,"20.85","20.92","19.28","20.01","56,054,090"
02/19/2025,"19.99","21.50","19.98","20.73","67,228,727"
02/18/2025,"20.16","20.58","19.55","20.01","52,335,008"
02/14/2025,"20.77","20.92","19.28","20.23","76,090,648"
02/13/2025,"19.09","20.55","18.87","20.27","99,627,875"
02/12/2025,"17.50","19.21","17.42","18.16","117,564,898"
02/11/2025,"19.30","19.70","16.96","17.35","116,566,398"
02/10/2025,"20.50","21.26","19.84","19.87","76,432,828"
02/07/2025,"22.18","23.43","21.00","21.13","72,056,031"
02/06/2025,"22.56","22.84","21.35","22.71","68,742,602"
02/05/2025,"24.34","24.49","22.86","23.20","52,872,191"
02/04/2025,"23.79","25.19","23.64","24.97","44,218,129"
02/03/2025,"24.33","24.65","22.71","23.96","82,723,250"
01/31/2025,"26.32","28.72","26.30","26.70","65,673,883"
01/30/2025,"27.49","27.71","24.15","26.18","84,021,922"
01/29/2025,"25.55","25.98","24.16","24.73","59,811,500"
01/28/2025,"25.78","26.26","24.43","25.94","32,189,891"
01/27/2025,"25.47","27.08","24.74","25.82","51,214,113"
01/24/2025,"28.16","28.63","26.99","27.09","37,471,641"
01/23/2025,"28.41","29.02","27.44","27.90","35,893,488"
01/22/2025,"28.55","30.08","28.22","28.30","47,021,648"
01/21/2025,"30.77","30.80","27.08","29.53","75,056,977"
01/17/2025,"29.26","31.69","28.99","29.91","71,306,531"
01/16/2025,"29.56","29.60","27.56","28.19","60,853,398"
01/15/2025,"27.84","30.46","27.29","30.22","69,815,570"
01/14/2025,"28.51","29.59","25.83","26.10","82,697,758"
01/13/2025,"24.38","27.06","23.98","27.00","56,773,039"
01/10/2025,"25.46","26.48","24.53","25.92","50,826,039"
01/08/2025,"25.72","26.95","24.97","25.98","56,871,320"
01/07/2025,"27.47","28.64","25.30","25.94","75,185,891"
01/06/2025,"29.87","30.33","26.92","28.22","76,940,273"
01/03/2025,"24.44","28.31","24.20","28.17","69,865,188"
01/02/2025,"25.70","26.00","23.36","24.19","106,809,000"
12/31/2024,"30.39","30.95","27.23","27.53","61,952,621"
12/30/2024,"29.75","30.88","29.25","29.50","48,705,871"
12/27/2024,"34.30","34.38","30.80","31.60","64,439,711"
12/26/2024,"36.82","36.86","34.58","35.08","56,064,520"
12/24/2024,"32.51","36.43","32.40","36.42","42,293,980"
12/23/2024,"31.81","32.30","29.54","31.85","55,161,500"
12/20/2024,"31.18","34.42","30.00","30.48","106,976,492"
12/19/2024,"35.22","35.88","30.34","32.80","105,188,703"
12/18/2024,"37.82","41.50","31.22","33.55","117,276,094"
12/17/2024,"39.46","40.75","36.48","40.09","101,115,695"
12/16/2024,"34.03","37.38","33.26","37.38","75,136,609"
12/13/2024,"30.93","33.29","30.28","33.28","54,483,680"
12/12/2024,"31.67","32.36","30.18","30.62","56,835,820"
12/11/2024,"29.84","31.98","28.79","31.98","62,276,121"
12/10/2024,"27.44","29.81","27.18","28.59","67,066,711"
12/09/2024,"28.16","29.13","25.41","27.08","75,536,008"
12/06/2024,"25.43","27.00","24.56","26.99","53,759,301"
12/05/2024,"23.17","25.15","23.13","24.39","56,989,398"
12/04/2024,"22.32","22.94","21.75","22.90","31,752,160"
12/03/2024,"22.13","22.65","21.70","22.11","34,753,449"
12/02/2024,"22.28","23.21","22.11","22.83","55,153,840"
11/29/2024,"20.29","21.39","20.13","21.36","23,420,939"
11/27/2024,"21.01","21.08","19.16","19.92","39,086,207"
11/26/2024,"20.91","21.64","20.26","20.58","40,477,699"
11/25/2024,"23.41","23.59","20.60","20.63","74,180,180"
11/22/2024,"21.00","22.90","20.59","22.43","63,843,441"
11/21/2024,"21.36","21.86","20.31","20.83","47,486,090"
11/20/2024,"21.54","21.71","20.18","21.14","52,221,301"
11/19/2024,"20.40","21.81","20.03","21.62","67,574,195"
11/18/2024,"21.00","21.90","19.74","20.77","115,411,102"
11/15/2024,"17.56","19.12","17.38","18.71","89,744,930"
11/14/2024,"19.60","19.88","17.52","17.61","91,171,047"
11/13/2024,"20.61","21.63","19.00","19.92","104,271,000"
11/12/2024,"21.50","21.92","19.05","19.71","143,549,203"
11/11/2024,"22.06","23.50","20.80","22.50","181,439,297"
11/08/2024,"16.63","19.88","16.46","19.06","188,360,891"
11/07/2024,"15.53","16.70","15.18","16.39","91,208,148"
11/06/2024,"15.14","15.60","14.27","15.49","163,866,891"
11/05/2024,"11.60","12.33","11.50","11.98","50,971,762"
11/04/2024,"11.34","11.76","10.81","11.20","55,989,367"
11/01/2024,"12.06","12.25","11.55","11.77","42,687,379"
10/31/2024,"12.67","12.83","11.81","11.86","49,150,219"
10/30/2024,"12.66","13.19","12.45","12.62","45,850,141"
10/29/2024,"13.32","13.37","12.42","12.81","55,280,152"
10/28/2024,"13.89","14.25","13.10","13.13","83,660,961"
10/25/2024,"12.50","13.84","12.43","13.80","137,892,000"
10/24/2024,"11.62","13.09","11.45","12.95","152,619,812"
10/23/2024,"9.30","9.44","8.88","9.01","79,683,961"
10/22/2024,"9.31","9.41","9.15","9.38","40,530,320"
10/21/2024,"9.47","9.61","9.19","9.47","34,801,680"
10/18/2024,"9.62","9.77","9.51","9.62","31,839,359"
10/17/2024,"9.71","9.76","9.40","9.65","36,254,359"
10/16/2024,"9.70","9.82","9.50","9.69","40,169,754"
10/15/2024,"9.60","9.95","9.33","9.55","52,979,500"
10/14/2024,"9.61","9.75","9.05","9.52","76,721,961"
10/11/2024,"9.63","9.94","9.10","9.40","120,684,305"
10/10/2024,"11.73","11.80","10.80","11.41","71,977,477"
10/09/2024,"11.91","12.27","11.50","11.65","53,057,102"
10/08/2024,"11.90","12.15","11.61","11.99","39,184,039"
10/07/2024,"12.45","12.53","11.63","11.64","57,280,512"
10/04/2024,"12.24","12.65","12.03","12.54","68,793,445"
10/03/2024,"12.05","12.58","11.38","11.67","58,906,152"
10/02/2024,"12.36","12.73","11.72","12.51","73,330,547"
10/01/2024,"13.94","14.07","12.44","13.45","77,216,867"
09/30/2024,"13.55","14.17","13.21","13.82","58,780,641"
09/27/2024,"13.39","13.73","13.06","13.71","39,262,738"
09/26/2024,"13.74","13.86","12.80","13.07","53,364,441"
09/25/2024,"12.91","13.38","12.88","13.37","35,593,898"
09/24/2024,"13.09","13.39","12.58","13.10","59,551,840"
09/23/2024,"12.02","12.75","11.95","12.73","48,006,207"
09/20/2024,"11.93","12.18","11.37","11.61","49,045,801"
09/19/2024,"11.25","12.20","11.09","12.18","60,913,633"
09/18/2024,"10.89","11.41","10.59","10.62","61,171,660"
09/17/2024,"10.84","11.31","10.56","10.68","46,663,406"
09/16/2024,"10.83","10.89","10.29","10.59","40,016,273"
09/13/2024,"10.71","11.15","10.55","10.91","45,230,566"
09/12/2024,"10.41","11.04","10.32","10.89","56,090,832"
09/11/2024,"10.40","10.76","9.68","10.73","59,047,102"
09/10/2024,"10.00","10.58","9.88","10.55","56,426,129"
09/09/2024,"9.68","9.99","9.45","9.69","37,633,289"
09/06/2024,"11.30","11.39","9.20","9.20","74,391,648"
09/05/2024,"10.46","11.52","10.35","11.07","75,476,305"
09/04/2024,"9.31","10.33","9.31","10.09","43,138,887"
09/03/2024,"9.74","10.15","9.22","9.32","53,421,800"
08/30/2024,"9.16","9.67","9.02","9.63","32,274,020"
08/29/2024,"9.26","9.71","8.94","8.96","37,458,480"
08/28/2024,"9.26","9.46","8.65","8.91","36,560,031"
08/27/2024,"9.58","9.81","9.02","9.23","31,716,311"
08/26/2024,"10.10","10.14","9.39","9.60","30,974,811"
08/23/2024,"9.74","10.36","9.71","10.25","35,718,801"
08/22/2024,"10.67","10.75","9.39","9.42","42,338,352"
08/21/2024,"10.55","10.74","10.20","10.61","31,392,170"
08/20/2024,"10.77","11.08","10.26","10.41","37,809,633"
08/19/2024,"10.06","10.59","9.77","10.57","44,893,434"
08/16/2024,"9.51","10.30","9.47","9.97","40,909,832"
08/15/2024,"9.00","9.94","8.99","9.79","46,324,008"
08/14/2024,"9.24","9.32","8.46","8.70","48,779,191"
08/13/2024,"8.48","9.33","8.37","9.29","45,218,801"
08/12/2024,"8.53","8.54","8.15","8.40","33,903,500"
08/09/2024,"8.36","8.69","8.20","8.62","27,689,279"
08/08/2024,"8.28","8.68","7.96","8.55","34,920,551"
08/07/2024,"8.73","8.96","7.92","7.95","46,694,602"
08/06/2024,"8.74","8.91","8.03","8.70","46,647,113"
08/05/2024,"7.32","9.02","7.06","8.58","61,872,930"
08/02/2024,"10.01","10.17","9.20","9.37","48,504,379"
08/01/2024,"11.33","11.77","10.00","10.26","45,877,980"
07/31/2024,"11.40","12.05","11.29","11.79","32,137,449"
07/30/2024,"11.85","11.87","10.61","10.88","45,335,441"
07/29/2024,"11.15","12.05","11.14","11.85","52,318,078"
07/26/2024,"10.79","10.90","10.22","10.67","42,776,340"
07/25/2024,"10.39","11.26","10.33","10.72","56,047,207"
07/24/2024,"11.34","11.42","10.19","10.29","86,340,234"
07/23/2024,"14.49","14.75","13.61","13.70","60,891,379"
07/22/2024,"13.50","14.46","13.45","14.29","36,129,832"
07/19/2024,"13.93","14.05","12.69","12.96","41,124,961"
07/18/2024,"14.32","14.98","13.87","14.10","48,474,238"
07/17/2024,"14.50","15.17","13.75","14.01","47,106,801"
07/16/2024,"14.82","15.20","13.73","14.96","52,724,199"
07/15/2024,"14.91","15.98","14.43","14.54","71,431,695"
07/12/2024,"12.66","14.42","12.37","14.02","74,776,359"
07/11/2024,"15.94","16.85","13.08","13.24","120,067,695"
07/10/2024,"15.89","16.46","15.29","15.94","54,580,488"
07/09/2024,"14.51","16.20","14.42","15.83","69,026,352"
07/08/2024,"14.12","15.49","13.77","14.74","79,940,031"
07/05/2024,"14.39","14.66","13.55","14.55","67,953,125"
07/03/2024,"12.74","14.21","12.71","14.02","86,379,133"
07/02/2024,"11.18","12.39","11.10","12.39","97,272,844"
07/01/2024,"9.47","10.61","9.47","10.29","67,109,297"
06/28/2024,"9.34","9.68","8.94","9.20","55,997,566"
06/27/2024,"8.94","9.27","8.85","9.16","43,433,559"
06/26/2024,"8.19","9.18","8.18","9.06","54,560,129"
06/25/2024,"7.99","8.32","7.81","8.27","30,739,529"
06/24/2024,"8.15","8.44","7.93","7.95","33,800,840"
06/21/2024,"7.90","8.05","7.77","7.97","27,380,859"
06/20/2024,"8.13","8.18","7.70","7.85","30,462,689"
06/18/2024,"8.31","8.35","7.93","8.16","36,081,711"
06/17/2024,"7.58","8.50","7.51","8.38","62,757,953"
06/14/2024,"8.28","8.28","7.49","7.57","52,759,070"
06/13/2024,"8.49","8.71","7.88","7.99","79,826,062"
06/12/2024,"7.05","7.81","6.94","7.55","44,203,391"
06/11/2024,"7.28","7.34","6.73","7.01","30,228,600"
06/10/2024,"7.47","7.68","7.21","7.27","29,481,410"
06/07/2024,"7.47","7.74","7.42","7.58","27,295,561"
06/06/2024,"7.34","7.78","7.19","7.64","32,281,820"
06/05/2024,"7.42","7.48","7.14","7.39","29,303,650"
06/04/2024,"7.37","7.62","7.31","7.37","26,936,350"
06/03/2024,"7.65","8.04","7.34","7.51","33,021,531"
05/31/2024,"7.70","7.85","7.29","7.65","25,382,500"
05/30/2024,"7.70","8.06","7.44","7.73","37,188,770"
05/29/2024,"7.34","7.67","7.32","7.51","19,278,311"
05/28/2024,"7.51","7.69","7.25","7.56","30,125,039"
05/24/2024,"7.42","7.84","7.32","7.77","24,810,131"
05/23/2024,"8.03","8.03","7.27","7.32","34,682,910"
05/22/2024,"8.13","8.22","7.70","7.89","29,065,641"
05/21/2024,"7.51","8.50","7.47","8.47","42,028,199"
05/20/2024,"7.71","7.73","7.36","7.49","24,973,311"
05/17/2024,"7.37","7.89","7.30","7.70","21,559,400"
05/16/2024,"7.43","7.56","7.19","7.47","19,002,160"
05/15/2024,"7.94","7.94","7.34","7.42","31,152,240"
05/14/2024,"7.47","7.89","7.43","7.72","30,459,830"
05/13/2024,"7.09","7.54","7.01","7.25","22,826,510"
05/10/2024,"7.37","7.37","6.91","6.98","23,021,619"
05/09/2024,"7.54","7.58","7.21","7.27","19,144,289"
05/08/2024,"7.24","7.63","7.12","7.52","25,615,119"
05/07/2024,"8.21","8.27","7.74","7.78","28,376,939"
05/06/2024,"8.34","8.67","8.19","8.43","28,900,490"
05/03/2024,"8.18","8.43","7.86","8.11","24,766,830"
05/02/2024,"8.26","8.41","7.65","8.01","28,878,400"
05/01/2024,"8.19","8.54","7.92","8.01","25,947,150"
04/30/2024,"8.68","9.04","8.27","8.33","35,221,719"
04/29/2024,"8.87","9.76","8.54","9.36","83,315,367"
04/26/2024,"7.22","7.49","6.99","7.15","28,773,369"
04/25/2024,"6.40","7.38","6.35","7.34","32,858,738"
04/24/2024,"6.74","7.11","6.33","6.66","48,473,660"
04/23/2024,"5.28","5.57","5.12","5.39","31,842,289"
04/22/2024,"5.08","5.37","4.94","5.19","30,524,730"
04/19/2024,"5.71","5.86","5.50","5.57","20,748,830"
04/18/2024,"5.90","5.98","5.70","5.79","29,993,721"
04/17/2024,"6.41","6.48","6.10","6.24","19,584,301"
04/16/2024,"6.36","6.47","6.10","6.38","20,733,070"
04/15/2024,"7.52","7.56","6.73","6.75","25,246,320"
04/12/2024,"7.71","7.85","7.53","7.59","14,603,310"
04/11/2024,"7.75","8.04","7.38","7.93","20,386,910"
04/10/2024,"7.81","7.97","7.51","7.67","30,492,740"
04/09/2024,"7.80","8.36","7.70","8.15","24,272,010"
04/08/2024,"7.49","7.93","7.35","7.81","17,545,660"
04/05/2024,"7.49","7.64","6.72","7.11","33,961,488"
04/04/2024,"7.58","8.21","7.40","7.67","24,620,301"
04/03/2024,"7.06","7.47","7.00","7.44","11,147,670"
04/02/2024,"7.11","7.38","7.00","7.29","20,945,020"
04/01/2024,"8.15","8.18","7.73","8.08","11,188,580"
03/28/2024,"8.23","8.38","8.08","8.11","10,535,970"
03/27/2024,"8.53","8.55","8.14","8.40","12,726,580"
03/26/2024,"8.33","8.72","8.24","8.27","19,945,461"
03/25/2024,"7.65","8.09","7.65","7.92","10,849,140"
03/22/2024,"7.51","7.82","7.49","7.79","11,339,610"
03/21/2024,"8.18","8.30","7.86","7.94","11,960,550"
03/20/2024,"7.96","8.18","7.80","8.14","13,965,650"
03/19/2024,"7.90","7.94","7.57","7.85","13,277,900"
03/18/2024,"7.84","8.16","7.56","8.10","21,082,070"
